id,name,created_at,updated_at
1,Sampang,2024-09-08 08:09:14,2024-09-08 08:09:14
4,Sreseh,2024-09-08 15:29:19,2024-09-08 15:29:19
5,Torjun,2024-09-08 15:29:31,2024-09-08 15:29:31
6,Pangarengan,2024-09-08 15:29:38,2024-09-08 15:29:38
7,Camplong,2024-09-08 15:30:07,2024-09-08 15:30:07
8,Omben,2024-09-08 15:30:20,2024-09-08 15:30:20
9,Kedungdung,2024-09-08 15:30:30,2024-09-08 15:30:30
10,Jrengik,2024-09-08 15:30:44,2024-09-08 15:30:44
11,Tambelangan,2024-09-08 15:30:55,2024-09-08 15:30:55
12,Banyuates,2024-09-08 15:31:06,2024-09-08 15:31:06
13,Robatal,2024-09-08 15:31:34,2024-09-08 15:31:34
14,Karangpenang,2024-09-08 15:31:46,2024-09-08 15:31:46
15,Ketapang,2024-09-08 15:31:55,2024-09-08 15:31:55
16,Sokabanah,2024-09-08 15:32:01,2024-09-08 15:32:01
